id,original_text,clean_text,sentiment,polarity,subjectivity,lang,place,place_coord_boundaries
1235071690209497090,"@thehill The Bernie  Bolsheviks win!!!

For statist educated millennials:

a member of the majority faction of the… https://t.co/6hr4iXIlN9",thehill The Bernie Bolsheviks win For statist educated millennials member majority faction,"Sentiment(polarity=0.8, subjectivity=0.4)",0.8,0.4,en,Amazon HQ2,
1235069028365996034,@YlKESTAN October faction,YlKESTAN October faction,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,"North Carolina, USA",
1235050524975611905,"I will say it again, October faction is SO GOOD GO WATCH IT",I say October faction SO GOOD GO WATCH IT,"Sentiment(polarity=0.7, subjectivity=0.6000000000000001)",0.7,0.6000000000000001,en,,
1235048523407609857,"@ginger_buddha October Faction, You",ginger_buddha October Faction You,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,,
1235045711676235776,"Listen to ""TV Party Tonight: October Faction (season 1)"" by W2M Network @Stiznarkey via #spreaker #directorx #idw… https://t.co/n7GujvBIAW",Listen `` TV Party Tonight October Faction season 1 '' W2M Network Stiznarkey via spreaker directorx idw,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,"Tampa Bay, FL",
1235042822836891648,"Wowie Seth's hair in the bar (talking to his bro) had such nice hair for like one scene 
(October Faction)",Wowie Seth 's hair bar talking bro nice hair like one scene October Faction,"Sentiment(polarity=0.6, subjectivity=1.0)",0.6,1.0,en,ZANARKAND,
1235030921037791233,October faction kinda go hard,October faction kinda go hard,"Sentiment(polarity=-0.2916666666666667, subjectivity=0.5416666666666666)",-0.2916666666666667,0.5416666666666666,en,,
1235016892093517824,"@spitflxw Apocalipse V , Perdido no Espaço , October Faction , Shadow Hunters , entre outras",spitflxw Revelation V Lost Espa October Faction Shadow Hunters and others,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,pt,"São Paulo, Brasil",
1235012413558267904,"@seanhannity So Sen. Sanders is a member of the majority faction of the Russian Social Democratic Party, which was… https://t.co/Zb2DecK548",seanhannity So Sen. Sanders member majority faction Russian Social Democratic Party,"Sentiment(polarity=0.016666666666666666, subjectivity=0.03333333333333333)",0.016666666666666666,0.03333333333333333,en,,
1235008884609343488,o meu coração não aguenta até ano que vem para a 2ª temporada de october faction,n my heart can stand next year for 2 season october faction,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,pt,"Viana, Brasil","[[-40.606249, -20.5054067], [-40.37028, -20.5054067], [-40.37028, -20.2791964], [-40.606249, -20.2791964]]"
1235007038884741127,@IDWEntertain It's a great show .. https://t.co/o2m00am2eE,IDWEntertain It 's great show ..,"Sentiment(polarity=0.8, subjectivity=0.75)",0.8,0.75,en,Sydney (Eora),
1235004901115252736,october faction é tudoh!!!!,october faction tudoh,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,fr,Niteroi - Rj,
1235004256312348673,Assisti agora: S01E07 of October Faction! #octoberfaction  #tvtime https://t.co/pzsvnBPklF https://t.co/txeq0hqwB9,Assisti agora S01E07 October Faction octoberfaction tvtime,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,"São Paulo, Brasil",
1235004078763184130,October Faction has an atmosphere problem,October Faction atmosphere problem,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,Sunrise,"[[-80.3631122, 26.1193834], [-80.226673, 26.1193834], [-80.226673, 26.193854], [-80.3631122, 26.193854]]"
1235003163306004480,@HDouglas83 Locke and Key and October Faction,HDouglas83 Locke Key October Faction,"Sentiment(polarity=0.0, subjectivity=1.0)",0.0,1.0,en,"Sharpsburg, GA",
1235001722612875265,@djclark21 It seems the general consensus is U.A which I agree with. I still need to see October Faction myself and probably 2/3 of Sabrina.,djclark21 It seems general consensus U.A I agree I still need see October Faction probably 2/3 Sabrina,"Sentiment(polarity=0.05000000000000002, subjectivity=0.5)",0.05000000000000002,0.5,en,"Fossil , XBL - xX LethaL",
1234995023835357184,@crymeariver6666 October Faction; I'm loving this show.,crymeariver6666 October Faction I 'm loving show,"Sentiment(polarity=0.6, subjectivity=0.95)",0.6,0.95,en,"California, USA",
